orig_book_index	orig_chapter	orig_verse	orig_subverse	order_by	text
01O	1	1		10	בראשית ברא אלהים את השמים ואת הארץ׃
01O	1	2		20	והארץ היתה תהו ובהו וחשך על־פני תהום ורוח אלהים מרחפת על־פני המים׃
01O	1	3		30	ויאמר אלהים יהי אור ויהי־אור׃
01O	1	4		40	וירא אלהים את־האור כי־טוב ויבדל אלהים בין האור ובין החשך׃
01O	1	5		50	ויקרא אלהים ׀ לאור יום ולחשך קרא לילה ויהי־ערב ויהי־בקר יום אחד׃  פ
01O	1	6		60	ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים׃
01O	1	7		70	ויעש אלהים את־הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי־כן׃
01O	1	8		80	ויקרא אלהים לרקיע שמים ויהי־ערב ויהי־בקר יום שני׃  פ
01O	1	9		90	ויאמר אלהים יקוו המים מתחת השמים אל־מקום אחד ותראה היבשה ויהי־כן׃
01O	1	10		100	ויקרא אלהים ׀ ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי־טוב׃
01O	1	11		110	ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו־בו על־הארץ ויהי־כן׃
01O	1	12		120	ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה־פרי  אשר זרעו־בו למינהו וירא אלהים כי־טוב׃
01O	1	13		130	ויהי־ערב ויהי־בקר יום שלישי׃  פ
01O	1	14		140	ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים׃
01O	1	15		150	והיו למאורת ברקיע השמים להאיר על־הארץ ויהי־כן׃
01O	1	16		160	ויעש אלהים את־שני המארת הגדלים את־המאור הגדל לממשלת היום ואת־המאור הקטן לממשלת הלילה ואת הכוכבים׃
01O	1	17		170	ויתן אתם אלהים ברקיע השמים להאיר על־הארץ׃
01O	1	18		180	ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי־טוב׃
01O	1	19		190	ויהי־ערב ויהי־בקר יום רביעי׃  פ
01O	1	20		200	ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על־הארץ על־פני רקיע השמים׃
01O	1	21		210	ויברא אלהים את־התנינם הגדלים ואת כל־נפש החיה ׀ הרמשת אשר שרצו המים למינהם ואת כל־עוף כנף למינהו וירא אלהים כי־טוב׃
01O	1	22		220	ויברך אתם אלהים לאמר פרו ורבו ומלאו את־המים בימים והעוף ירב בארץ׃
01O	1	23		230	ויהי־ערב ויהי־בקר יום חמישי׃  פ
01O	1	24		240	ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו־ארץ למינה ויהי־כן׃
01O	1	25		250	ויעש אלהים את־חית הארץ למינה ואת־הבהמה למינה ואת כל־רמש האדמה למינהו וירא אלהים כי־טוב׃
01O	1	26		260	ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל־הארץ ובכל־הרמש הרמש על־הארץ׃
01O	1	27		270	ויברא אלהים ׀ את־האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם׃
01O	1	28		280	ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את־הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל־חיה הרמשת על־הארץ׃
01O	1	29		290	ויאמר אלהים הנה נתתי לכם את־כל־עשב ׀ זרע זרע אשר על־פני כל־הארץ ואת־כל־העץ אשר־בו פרי־עץ זרע זרע לכם יהיה לאכלה׃
