orig_book_index,orig_chapter,orig_verse,text
Genesis,1,1,בראשית ברא אלהים את השמים ואת הארץ
Genesis,1,2,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
Genesis,1,3,ויאמר אלהים יהי אור ויהי אור
Genesis,1,4,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
Genesis,1,5,ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד פ
Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
Genesis,1,7,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
Genesis,1,8,ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני פ
Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
Genesis,1,10,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
Genesis,1,13,ויהי ערב ויהי בקר יום שלישי פ
Genesis,1,14,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
Genesis,1,15,והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
Genesis,1,16,ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
Genesis,1,17,ויתן אתם אלהים ברקיע השמים להאיר על הארץ
Genesis,1,18,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
Genesis,1,19,ויהי ערב ויהי בקר יום רביעי פ
Genesis,1,20,ויאמר אלהיםישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
Genesis,1,21,ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
Genesis,1,22,ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
Genesis,1,23,ויהי ערב ויהי בקר יום חמישי פ
Genesis,1,24,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
Genesis,1,25,ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
Genesis,1,26,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
Genesis,1,27,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
Genesis,1,28,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
Genesis,1,29,ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
Genesis,1,30,ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
Genesis,1,31,וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי פ
Genesis,2,1,ויכלו השמים והארץ וכל צבאם
Genesis,2,2,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
Genesis,2,3,ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות פ
Genesis,2,4,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהיםארץ ושמים
Genesis,2,5,וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
Genesis,2,6,ואד יעלה מן הארץ והשקה את כל פני האדמה
Genesis,2,7,וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
