orig_book_index,orig_chapter,orig_verse,text
Genesis,1,1,בראשית ברא אלהים את השמים ואת הארץ
Genesis,1,2,והארץ היתה תהו ובהו וחשך עלפני תהום ורוח אלהים מרחפת עלפני המים
Genesis,1,3,ויאמר אלהים יהי אור ויהיאור
Genesis,1,4,וירא אלהים אתהאור כיטוב ויבדל אלהים בין האור ובין החשך
Genesis,1,5,ויקרא אלהים לאור יום ולחשך קרא לילה ויהיערב ויהיבקר יום אחד ף
Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
Genesis,1,7,ויעש אלהים אתהרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהיכן
Genesis,1,8,ויקרא אלהים לרקיע שמים ויהיערב ויהיבקר יום שני ף
Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אלמקום אחד ותראה היבשה ויהיכן
Genesis,1,10,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כיטוב
Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעובו עלהארץ ויהיכן
Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשהפרי אשר זרעובו למינהו וירא אלהים כיטוב
Genesis,1,13,ויהיערב ויהיבקר יום שלישי ף
Genesis,1,14,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
Genesis,1,15,והיו למאורת ברקיע השמים להאיר עלהארץ ויהיכן
Genesis,1,16,ויעש אלהים אתשני המארת הגדלים אתהמאור הגדל לממשלת היום ואתהמאור הקטן לממשלת הלילה ואת הכוכבים
Genesis,1,17,ויתן אתם אלהים ברקיע השמים להאיר עלהארץ
Genesis,1,18,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כיטוב
Genesis,1,19,ויהיערב ויהיבקר יום רביעי ף
Genesis,1,20,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעוףף עלהארץ עלפני רקיע השמים
Genesis,1,21,ויברא אלהים אתהתנינם הגדלים ואת כלנפש החיה הרמשת אשר שרצו המים למינהם ואת כלעוף כנף למינהו וירא אלהים כיטוב
Genesis,1,22,ויברך אתם אלהים לאמר פרו ורבו ומלאו אתהמים בימים והעוף ירב בארץ
Genesis,1,23,ויהיערב ויהיבקר יום חמישי ף
Genesis,1,24,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתוארץ למינה ויהיכן
Genesis,1,25,ויעש אלהים אתחית הארץ למינה ואתהבהמה למינה ואת כלרמש האדמה למינהו וירא אלהים כיטוב
Genesis,1,26,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכלהארץ ובכלהרמש הרמש עלהארץ
Genesis,1,27,ויברא אלהים אתהאדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
Genesis,1,28,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו אתהארץ וכבשה ורדו בדגת הים ובעוף השמים ובכלחיה הרמשת עלהארץ
Genesis,1,29,ויאמר אלהים הנה נתתי לכם אתכלעשב זרע זרע אשר עלפני כלהארץ ואתכלהעץ אשרבו פריעץ זרע זרע לכם יהיה לאכלה
Genesis,1,30,ולכלחית הארץ ולכלעוף השמים ולכל רומש עלהארץ אשרבו נפש חיה אתכלירק עשב לאכלה ויהיכן
Genesis,1,31,וירא אלהים אתכלאשר עשה והנהטוב מאד ויהיערב ויהיבקר יום הששי ף
Genesis,2,1,ויכלו השמים והארץ וכלצבאם
Genesis,2,2,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכלמלאכתו אשר עשה
Genesis,2,3,ויברך אלהים אתיום השביעי ויקדש אתו כי בו שבת מכלמלאכתו אשרברא אלהים לעשות ף
Genesis,2,4,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים
Genesis,2,5,וכל שיח השדה טרם יהיה בארץ וכלעשב השדה טרם יצמח כי לא המטיר יהוה אלהים עלהארץ ואדם אין לעבד אתהאדמה
Genesis,2,6,ואד יעלה מןהארץ והשקה אתכלפניהאדמה
